Sigla,Estado,X1,X2,X3,X4,X5,X6,X7
AC,Acre,83.9,37.1,4.6,29.7,16.08,30.47,76.02
AL,Alagoas,89.0,47.0,4.1,38.2,10.97,27.22,77.80
AM,Amazonas,83.2,41.0,5.5,19.1,16.80,27.26,74.95
AP,Amapá,93.4,28.7,6.1,16.0,6.60,17.06,88.41
BA,Bahia,93.1,41.8,4.5,28.5,6.87,20.68,81.68
CE,Ceará,94.4,32.8,4.4,31.4,5.63,20.89,84.81
DF,Distrito_Federal,97.6,13.6,8.2,7.2,2.38,13.29,91.98
ES,Espírito_Santo,94.4,17.0,5.9,14.2,5.57,26.06,79.75
GO,Goiás,96.0,23.3,5.7,15.0,3.98,21.54,83.64
MA,Maranhão,91.6,44.5,4.0,35.0,8.40,23.99,78.19
MG,Minas_Gerais,95.9,17.9,5.6,14.8,4.11,23.96,78.93
MS,Mato_Grosso_do_Sul,95.2,20.6,5.7,14.0,4.79,27.41,81.53
MT,Mato_Grosso,93.6,22.1,5.5,15.5,6.40,27.64,82.73
PA,Pará,90.1,44.5,5.0,20.6,9.92,26.44,77.91
PB,Paraíba,93.9,42.5,4.3,34.8,6.13,25.02,80.39
PE,Pernambuco,92.1,36.8,5.1,28.3,7.95,25.63,79.50
PI,Piauí,93.7,47.6,3.9,36.7,6.31,23.55,80.05
PR,Paraná,95.6,13.7,6.0,11.7,4.36,26.94,82.88
RJ,Rio_de_Janeiro,96.1,22.4,7.2,7.6,3.89,18.54,83.78
RN,Rio_Grande_do_Norte,94.8,32.8,5.0,29.8,5.23,21.50,84.65
RO,Rondônia,90.7,25.7,4.9,17.0,9.32,36.26,75.69
RR,Roraima,94.3,22.1,5.7,17.5,5.68,19.98,86.39
RS,Rio_Grande_do_Sul,97.3,13.6,6.4,7.8,2.67,22.62,84.60
SC,Santa_Catarina,96.7,13.1,6.2,7.4,3.33,24.69,84.36
SE,Sergipe,93.3,42.2,4.7,29.6,6.74,24.12,81.49
SP,São_Paulo,96.8,9.9,6.8,7.9,3.20,17.54,83.51
TO,Tocantins,93.2,34.7,4.7,24.0,6.76,21.93,85.41
