IF_Estudante;ID_carro;Excitante;Confiável;Luxuoso;PróprioParaOArLivre;Poderoso;Estiloso;Confortável;Vigoroso;Gostoso;Seguro;Desempenho;Família;Versátil;Esportivo;Status;Prático
1001;5;3;5;5;1;3;4;5;1;3;5;3;5;3;1;4;3
1002;6;2;3;2;1;2;1;2;2;2;3;2;4;3;1;1;4
1003;7;3;5;4;1;4;4;4;1;3;5;3;NA;4;2;4;3
1004;8;3;2;3;1;2;3;3;1;3;2;3;2;2;3;4;2
1005;9;5;4;4;2;3;5;3;3;5;4;5;1;2;5;5;2
1006;10;2;4;3;3;2;2;4;1;2;5;2;5;4;1;3;4
1007;1;3;2;3;1;3;4;2;2;2;3;2;2;2;4;1;2
1008;2;2;3;3;5;3;4;3;5;4;3;2;4;5;5;3;3
1009;3;2;5;4;1;3;3;4;1;2;4;2;4;2;2;3;4
1010;4;5;3;2;5;4;4;3;5;4;4;3;4;5;5;4;5
1011;5;5;3;5;1;4;4;4;2;5;4;4;1;1;3;4;1
1012;6;1;3;3;4;2;1;5;4;1;5;1;5;3;1;2;5
1013;7;2;5;4;1;4;4;4;1;1;5;5;5;5;3;4;5
1014;8;5;2;3;1;5;3;3;2;5;4;5;4;3;4;4;3
1015;9;5;5;5;1;4;5;2;1;5;1;5;1;1;5;5;1
1016;10;2;5;4;2;4;4;5;1;4;5;4;5;5;3;4;5
1017;1;4;5;4;3;;4;4;3;4;4;4;3;4;4;4;4
1018;2;3;4;3;5;4;4;5;5;5;3;3;5;5;4;3;5
1019;3;3;5;5;1;4;3;5;1;3;5;4;3;3;3;4;3
1020;4;3;2;2;5;4;4;3;5;2;2;3;3;5;2;3;4
1021;5;5;4;4;2;4;4;4;1;4;4;4;4;4;2;4;3
1022;6;1;3;2;2;1;1;2;1;1;1;1;5;3;1;1;3
1023;7;3;5;4;1;5;3;4;1;3;4;5;3;2;1;5;2
1024;8;4;4;5;3;5;5;5;2;4;4;4;4;3;4;3;4
1025;9;5;3;5;3;5;5;5;3;5;2;5;2;2;5;5;1
1026;10;2;4;2;3;2;2;3;2;2;5;4;5;4;2;2;4
1027;1;5;4;5;3;5;5;3;1;5;3;5;1;2;5;5;2
1028;2;4;4;4;5;5;4;2;4;4;4;4;5;4;5;4;3
1029;3;3;4;3;1;2;2;4;1;2;4;1;5;3;1;2;3
1030;4;3;1;2;5;3;2;2;5;2;1;2;3;5;3;3;2
1031;5;3;4;3;1;3;3;4;2;4;3;4;2;2;4;3;2
1032;6;2;3;2;2;3;3;3;3;2;3;2;4;4;2;3;3
1033;7;4;4;4;2;4;4;4;2;3;4;4;4;4;4;4;4
1034;8;5;3;4;1;3;5;3;1;5;3;4;2;2;1;5;3
1035;9;5;2;2;2;4;5;2;2;5;1;5;1;1;5;5;2
1036;10;2;4;3;3;3;2;4;3;2;5;2;5;4;2;2;4
1037;1;3;1;3;1;4;3;3;1;3;3;3;1;1;2;4;2
1038;2;2;3;4;5;5;3;4;5;3;5;1;4;4;3;3;3
1039;3;3;4;4;2;4;4;4;;4;4;4;3;3;3;5;3
1040;4;4;3;3;5;5;4;4;5;4;3;4;5;4;4;4;4
1041;5;2;5;5;1;4;4;5;1;3;5;4;4;3;1;4;4
1042;6;2;3;2;2;2;2;3;2;3;3;3;5;5;2;2;2
1043;7;4;4;5;2;4;5;4;3;4;4;4;3;3;4;5;4
1044;8;4;1;3;2;3;3;3;2;3;3;3;2;2;2;3;2
1045;9;5;4;5;1;5;5;3;2;5;2;5;1;1;5;5;2
1046;10;2;4;4;1;4;3;4;2;3;5;4;4;4;3;3;4
1047;1;4;3;4;2;4;4;3;1;5;3;4;2;2;4;5;2
1048;2;5;5;5;5;5;5;5;5;5;5;2;5;5;3;3;5
1049;3;4;3;4;2;5;5;4;2;4;3;5;3;2;4;4;2
1050;4;3;3;3;5;4;3;3;4;3;3;3;4;4;3;3;3
1051;5;3;4;4;1;3;4;4;1;4;4;4;4;4;2;5;4
1052;6;2;3;2;4;4;2;4;4;1;3;3;5;4;2;2;4
1053;7;4;4;5;1;3;5;4;2;4;4;2;4;3;3;5;4
1054;8;4;3;4;2;4;5;3;2;5;4;5;4;4;4;4;4
1055;9;5;4;4;5;5;5;3;1;5;4;5;1;2;5;5;1
1056;10;2;5;4;3;4;3;4;3;3;5;4;5;4;3;4;5
1057;1;3;4;5;1;2;5;4;1;4;3;3;3;2;3;5;3
1058;2;1;3;3;4;4;2;3;4;1;4;2;4;2;1;2;4
1059;3;4;4;4;2;4;4;4;1;4;4;4;3;2;2;4;3
1060;4;4;4;3;5;4;4;4;5;4;3;4;3;2;5;4;2
1061;5;2;5;5;1;4;3;4;1;4;4;3;5;3;2;4;5
1062;6;1;5;1;2;1;1;5;2;2;5;2;5;3;1;1;5
1063;7;3;5;4;2;3;3;4;4;4;4;4;3;3;NA;3;3
1064;8;3;3;4;3;3;3;4;4;3;5;3;4;4;3;4;4
1065;9;5;3;3;2;4;4;3;2;5;1;4;1;1;5;4;2
1066;10;3;4;4;4;3;4;4;5;2;5;3;5;5;4;4;5
1067;1;2;4;4;1;2;5;3;2;5;3;3;1;1;5;4;3
1068;2;3;4;3;5;5;3;4;5;5;5;1;3;5;5;3;4
1069;3;3;4;4;1;3;4;4;1;4;4;3;3;4;3;5;4
1070;4;4;4;4;3;5;3;3;4;4;4;3;3;4;3;3;3
1071;5;4;3;4;2;4;4;4;1;4;4;4;3;3;3;4;3
1072;6;1;4;3;2;3;2;4;2;2;5;3;5;4;1;2;5
1073;7;4;5;5;1;5;5;5;3;5;5;5;2;2;3;5;2
1074;8;4;4;4;1;3;4;3;1;4;4;4;3;3;3;4;3
1075;9;5;4;4;4;5;5;4;4;5;4;5;2;3;5;5;2
1076;10;2;5;4;4;3;2;3;3;2;5;4;5;4;2;4;4
1077;1;3;4;4;2;3;3;3;2;3;4;4;2;2;4;4;3
1078;2;3;2;3;4;3;3;3;4;4;4;2;3;4;4;3;3
1079;3;2;4;5;1;3;3;4;1;2;4;3;5;2;1;4;4
1080;4;4;4;5;4;5;5;5;4;5;4;4;4;4;4;5;4
1081;5;5;5;5;2;4;5;4;1;4;4;4;4;4;4;4;4
1082;6;3;3;3;3;3;3;3;3;2;3;2;4;2;2;2;3
1083;7;3;4;4;2;4;4;4;4;4;5;4;4;3;3;4;3
1084;8;4;3;4;3;5;3;3;3;4;3;4;3;3;4;4;3
1085;9;5;3;2;3;5;5;2;3;5;2;5;1;2;5;5;1
1086;10;1;5;4;3;3;2;4;3;3;5;4;5;5;3;4;4
1087;1;4;5;4;2;4;5;4;2;4;4;5;3;2;3;5;4
1088;2;3;4;3;5;4;3;4;5;4;4;3;4;4;2;3;4
1089;3;3;5;5;2;4;4;4;3;4;4;4;4;3;3;5;4
1090;4;4;4;4;5;5;3;3;5;4;3;2;3;4;5;3;3
1091;5;3;5;5;1;3;3;4;2;2;4;3;3;2;2;4;3
1092;6;1;4;1;2;2;1;3;2;1;4;1;5;3;1;1;3
1093;7;3;5;5;1;3;4;4;3;4;4;4;3;3;3;4;2
1094;8;5;2;4;2;4;5;4;3;5;4;5;4;4;5;5;4
1095;9;5;2;3;3;5;5;2;2;5;2;5;1;1;5;4;1
1096;10;1;5;3;2;4;2;5;2;2;5;5;5;4;2;3;5
1097;1;4;3;3;3;4;4;4;3;4;4;4;3;3;4;4;3
1098;2;3;4;3;5;4;3;4;4;3;4;4;4;4;3;3;5
1099;3;4;4;4;1;4;4;5;1;4;4;4;1;3;4;4;3
1100;4;3;1;2;4;3;3;3;3;2;3;3;5;4;3;3;4
1101;5;4;5;5;1;5;5;5;1;4;4;5;3;3;3;5;3
1102;6;1;3;2;1;2;1;2;1;1;2;1;4;1;1;1;3
1103;7;4;5;5;2;4;5;5;1;3;5;5;4;2;2;5;4
1104;8;4;2;5;1;4;4;4;2;4;4;4;4;2;4;4;3
1105;9;4;4;3;2;4;4;2;4;5;4;4;1;2;5;4;1
1106;10;2;4;3;1;3;3;4;1;2;5;2;4;4;1;3;4
1107;1;4;4;4;2;3;3;4;2;4;4;4;3;4;2;4;3
1108;2;3;3;2;5;3;2;3;5;3;3;1;4;4;2;2;5
1109;3;2;4;3;1;3;4;4;1;4;4;4;4;3;2;3;4
1110;4;3;2;1;5;3;2;3;4;4;4;3;4;3;4;2;3
1111;5;2;5;4;2;3;3;4;2;3;4;3;4;1;3;4;4
1112;6;1;2;2;2;2;1;3;1;1;3;1;5;5;1;2;5
1113;7;3;5;5;2;3;4;4;3;3;5;3;4;2;3;5;3
1114;8;4;4;4;4;5;5;4;3;5;5;5;4;4;3;4;4
1115;9;5;4;4;3;4;4;4;3;5;3;4;1;1;5;5;1
1116;10;1;3;1;1;1;1;1;1;2;2;2;5;2;4;1;5
1117;1;4;3;3;3;4;4;3;2;4;3;3;2;2;4;5;3
1118;2;2;3;3;5;4;3;4;5;3;4;2;3;4;2;4;2
1119;3;2;3;3;1;2;2;3;1;3;3;3;3;2;1;2;3
1120;4;4;5;3;5;4;3;4;5;5;4;4;5;4;5;3;5
1121;5;2;4;4;1;4;4;4;2;4;4;4;4;2;2;4;3
1122;6;2;4;1;3;1;1;3;2;1;3;1;5;4;2;2;4
1123;7;3;5;4;1;3;3;4;1;3;5;3;4;3;3;4;4
1124;8;3;3;3;3;3;4;4;3;4;4;4;3;3;4;3;3
1125;9;4;2;2;1;5;4;2;1;5;2;5;1;1;5;5;1
1126;10;1;4;2;3;4;1;4;2;1;5;4;5;4;2;3;4
1127;1;4;3;4;2;4;5;4;1;5;3;5;2;3;4;5;3
1128;2;3;4;2;5;3;3;4;4;4;4;2;5;2;2;2;4
1129;3;3;4;4;1;3;3;4;1;3;4;4;3;2;2;4;3
1130;4;2;3;4;5;5;4;5;5;3;4;3;4;5;4;4;4
1131;5;4;5;5;1;4;4;5;2;4;4;4;4;3;3;4;5
1132;6;2;3;2;3;2;2;3;2;2;3;1;4;3;2;1;2
1133;7;4;5;5;3;4;5;5;1;4;5;5;3;3;3;5;4
1134;8;5;3;3;3;5;4;4;3;5;5;5;3;3;4;3;3
1135;9;5;4;4;3;4;5;4;3;5;5;5;1;1;5;5;2
1136;10;3;4;4;3;4;3;4;4;3;5;3;5;3;3;3;4
1137;1;4;5;4;2;4;5;3;2;4;4;5;3;2;4;5;2
1138;2;4;4;4;5;4;4;4;5;4;3;3;4;4;3;3;4
1139;3;3;2;3;1;3;3;4;1;3;3;3;3;2;2;2;3
1140;4;4;4;4;5;5;4;4;5;4;4;5;5;5;5;4;4
1141;5;2;5;5;1;2;5;5;1;2;4;4;3;1;1;5;4
1142;6;1;5;4;2;3;2;5;1;5;3;1;5;4;1;4;5
1143;7;3;5;5;1;4;4;4;1;4;4;5;2;4;2;5;3
1144;8;3;5;3;3;5;2;4;3;4;4;5;5;4;3;2;3
1145;9;5;3;1;5;5;5;3;4;5;3;5;1;3;5;5;3
1146;10;2;4;3;3;2;3;4;3;2;5;2;5;4;2;3;4
1147;1;4;4;5;1;4;5;4;1;4;4;4;2;3;2;4;5
1148;2;3;3;3;5;4;4;4;5;4;4;4;4;5;5;4;4
1149;3;2;3;4;2;4;3;4;1;2;4;3;3;2;2;3;3
1150;4;4;3;2;5;4;4;3;5;3;3;2;4;4;4;3;5
1151;5;3;3;3;3;3;3;3;1;3;3;3;3;3;1;3;3
1152;6;2;3;2;3;3;1;3;1;1;4;1;5;2;1;2;4
1153;7;3;3;4;2;4;4;4;2;3;3;4;3;2;4;4;3
1154;8;2;1;1;1;4;1;3;1;3;3;3;3;3;3;2;4
1155;9;5;2;5;4;5;5;2;2;5;2;3;1;2;5;5;2
1156;10;2;4;4;1;3;3;4;2;3;5;3;5;5;3;4;5
1157;1;3;4;5;1;4;5;4;1;4;4;5;1;3;1;5;2
