Pais	Expectativa_vida	Educação	PIB	Estabilidade_Política
UK	0.88	0.99	0.91	1.1
Australia	0.9	0.99	0.93	1.26
Canada	0.9	0.98	0.94	1.24
Estados_Unidos	0.87	0.98	0.97	1.18
Japao	0.93	0.93	0.93	1.2
França	0.89	0.97	0.92	1.04
Cingapura	0.88	0.87	0.91	1.41
Argentina	0.81	0.92	0.8	0.55
Uruguai	0.82	0.92	0.75	1.05
Cuba	0.85	0.9	0.64	0.07
Colômbia	0.77	0.85	0.69	-1.36
Brasil	0.71	0.83	0.72	0.47
Paraguai	0.75	0.83	0.63	-0.87
Egito	0.7	0.62	0.6	0.21
Nigéria	0.44	0.58	0.37	-1.36
Senegal	0.47	0.37	0.45	-0.68
Serra_Leoa	0.23	0.33	0.27	-1.26
Angola	0.34	0.36	0.51	-1.98
Etiopia	0.31	0.35	0.32	-0.55
Moçambique	0.24	0.37	0.36	0.2
China	0.76	0.8	0.61	0.39
