"inflacao" "pib_per_capita" "crescimento_pib" "desemprego"
"United Arab Emirates" 3.0681470568773 43004.9486462341 1.4238403611281 2.57500004768372
"Albania" 2.02079042583029 5253.63006411357 4.00441323438758 13.8979997634888
"Armenia" 2.52023382001631 4212.07094272937 5.2 17.7119998931885
"Angola" 20.1903737898382 3432.38573600893 -2.13349325676356 7.25299978256226
"Austria" 1.99838187702266 51512.9054751534 2.72908309897117 4.78599977493286
"Australia" 1.91140094445692 57305.2990162045 2.83494813296824 5.38700008392334
"Azerbaijan" 1.92188306553188 4721.17808673142 1.41287352692132 5.21999979019165
"Bangladesh" 5.5436213948647 1698.26280233547 7.86370889257542 4.30800008773804
"Belgium" 2.05316499865181 46556.0995671478 1.43783467602618 6.32299995422363
"Burkina Faso" 1.86444958509445 731.171716967411 6.5098030396815 6.05900001525879
"Bulgaria" 2.81186840582685 9272.62930360848 3.08115723374425 5.26100015640259
"Bahrain" 2.08481249596594 24050.7575053956 1.77769375269004 0.962000012397766
"Burundi" -2.8146980766847 275.429603285318 1.59997661445593 1.52799999713898
"Benin" 1.024127367456 901.954052193336 6.85800227090556 2.125
"Brunei Darussalam" 0.150523489779418 31627.7420793167 0.0523466726926927 9.22399997711182
"Bolivia" 2.27205987230148 3548.59013979338 4.22362493214148 3.25799989700317
"Brazil" 3.66485028376724 8920.76210462979 1.11757918028799 12.543999671936
"Bhutan" 2.72377715236906 3360.26686689029 2.29064819273836 2.19700002670288
"Botswana" 3.2380155894771 8258.64166574691 4.45355960085716 17.9409999847412
"Belarus" 4.87230220550688 6289.93855308212 3.04990554989585 5.70800018310547
"Canada" 2.268225672481 46210.5476227883 1.87856366177211 5.92000007629395
"Switzerland" 0.936313303085696 82838.9294445761 2.54042671344739 4.88299989700317
"Cote d'Ivoire" 0.439062777307137 1715.53123817013 7.43307162464457 2.48000001907349
"Chile" 2.43488981353058 15923.3590619893 4.02465296526672 7.22300004959106
"Cameroon" 1.06885811312916 1526.87571339209 3.85989699559069 3.36100006103516
"China" 2.07478890229193 9770.84708783314 6.60000000000001 4.41699981689453
"Colombia" 3.24023413752975 6651.29129267621 2.65812100000001 9.0930004119873
"Costa Rica" 2.22119827424349 12026.5475337333 2.66404984384756 8.12800025939941
"Czech Republic" 2.14949494949492 23078.5734865691 2.95778447327679 2.3970000743866
"Germany" 1.73216766075662 48195.5799044116 1.4253034667189 3.42499995231628
"Djibouti" 0.147970849877116 2050.20473202095 5.95536790031441 11.1219997406006
"Denmark" 0.813609467455633 60726.4665351509 1.48965908418744 4.97499990463257
"Dominican Republic" 3.56443426013508 7650.07275254505 6.95074308631736 5.8289999961853
"Algeria" 4.26999020467078 4278.85005953418 2.10000000000001 12.1450004577637
"Ecuador" -0.224103246005465 6344.87197850057 1.37712702988119 3.91000008583069
"Estonia" 3.43632688420445 22927.7444174193 3.86575358097339 5.50799989700317
"Spain" 1.67506761489627 30523.8592390474 2.58174653442416 15.4870004653931
"Finland" 1.08382098409299 49648.1492554831 1.65753369462296 7.75500011444092
"Fiji" 4.0798797509126 6202.16226706496 4.99999999999963 4.15199995040894
"France" 1.85081508315494 41463.6440227034 1.72488062812486 9.18000030517578
"Gabon" 4.7490665208322 8029.82238356148 1.22110357753027 19.488000869751
"United Kingdom" 2.29283990345939 42491.3644350973 1.39760759249872 3.9539999961853
"Ghana" 9.83699268575466 2202.31216470307 6.26348077175622 6.71000003814697
"Gambia, The" 6.52096823946573 712.452397744265 6.59999512038003 8.90499973297119
"Guinea" 9.82604222629665 885.251228166811 8.65939320585427 3.60700011253357
"Equatorial Guinea" 1.06007410662164 10173.963020188 -2.94973018881664 9.16199970245361
"Greece" 0.625629147213626 20324.2535641478 1.93437082147373 19.2070007324219
"Guatemala" 3.75186186704512 4549.01008110721 3.14500045766512 2.72699999809265
"Guyana" 1.28284288443518 4634.68133523087 3.44265406311395 12.1510000228882
"Hong Kong SAR, China" 2.40771745196524 48717.2912142538 3.02140152972467 2.77800011634827
"Honduras" 4.34734937777536 2482.73020626573 3.74558474629505 4.07600021362305
"Croatia" 1.50012501041753 14869.0906823045 2.62982608916515 8.85000038146973
"Haiti" 12.4814111170435 868.284799613704 1.48388303510178 13.5260000228882
"Hungary" 2.85024792594642 15938.8367965554 4.94041868527559 3.66300010681152
"Indonesia" 3.19834641562404 3893.59607757239 5.17127032830882 4.30000019073486
"Ireland" 0.488370168032449 78806.431996268 8.1698709708408 5.69099998474121
"Israel" 0.814852150537637 41613.9980821757 3.30883147025702 3.95000004768372
"India" 4.86069946650859 2015.59048548675 6.98233355585374 2.55100011825562
"Iraq" 0.36744148893681 5878.03856646219 0.632455398016305 7.92799997329712
"Iceland" 2.68291768267388 73201.7025499851 4.61147602886756 2.91799998283386
"Italy" 1.13748763600395 34318.3511241724 0.858260215893509 10.2049999237061
"Jamaica" 3.73872391396056 5355.58263932713 1.85626889162546 9.44499969482422
"Jordan" 4.4618077438624 4247.76872564413 1.94029220505026 15.0249996185303
"Japan" 0.979903670486641 39286.7376488008 0.787965413355508 2.4449999332428
"Kenya" 4.68981976129859 1710.51009699983 6.31978136452209 9.3129997253418
"Korea, Rep." 1.47586240396369 31362.75147294 2.66831140171185 3.79500007629395
"Lao PDR" 2.04012895303352 2567.54321653103 6.50086840737087 0.609000027179718
"Lebanon" 6.07698907889605 8269.78767551923 0.199990636430059 6.16699981689453
"St. Lucia" 1.93880439077704 10315.0260751215 0.59763357725582 20.8680000305176
"Sri Lanka" 2.13503773713198 4102.48135014467 3.20913112799197 4.39900016784668
"Liberia" 23.5635148953742 674.209484710137 1.22255131299607 2.03299999237061
