Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27
101,25,5,5,5,1,2,1,5,4,1,4,5,5,5,5,1,3,1,4,1,1,3,5,1,1,5
101,21,1,2,2,1,5,2,5,1,1,5,3,5,2,5,1,5,5,1,2,1,5,2,1,1,3
103,21,5,4,5,5,5,3,5,5,5,5,3,3,5,5,1,1,5,4,3,1,2,5,4,1,5
103,3,5,5,5,3,5,2,5,5,5,5,3,3,5,5,1,1,1,4,2,5,2,5,5,1,5
104,14,4,5,3,2,5,2,5,4,5,5,1,5,5,3,3,1,5,3,1,1,3,5,5,1,4
104,19,4,4,4,2,5,2,5,4,5,5,1,5,4,5,3,1,5,3,2,1,3,5,5,1,4
104,21,4,4,3,2,5,1,5,5,5,5,1,5,5,5,3,1,5,3,2,1,3,5,5,1,4
105,21,4,3,3,2,5,1,5,4,4,5,1,3,4,5,2,3,4,4,1,1,2,4,2,1,3
105,19,4,3,3,2,5,1,5,4,4,5,1,3,4,5,2,3,4,4,1,1,2,4,2,1,3
105,14,4,3,3,2,5,1,5,4,4,5,1,3,4,5,2,3,4,4,1,1,2,4,2,1,3
106,24,4,5,4,1,5,1,5,4,1,3,3,4,4,4,3,4,1,3,1,1,3,4,1,3,4
106,25,4,4,3,3,5,2,4,4,1,3,2,4,4,3,3,2,2,3,3,1,3,4,2,2,4
107,3,4,4,4,5,5,4,4,4,3,4,1,1,3,5,4,3,3,2,4,3,3,2,3,2,3
107,17,4,4,4,5,5,3,4,4,2,5,1,1,3,5,4,3,4,2,4,3,3,2,3,2,3
108,14,4,4,3,4,6,4,6,4,5,6,2,4,4,6,4,2,6,3,4,2,6,5,6,2,4
108,1,3,4,5,3,5,2,3,3,2,3,2,3,4,2,2,1,2,5,2,1,4,4,3,1,4
109,19,3,2,1,3,5,2,4,2,3,5,1,5,3,5,3,3,4,1,2,1,1,4,4,1,1
109,16,4,3,4,4,5,2,5,2,1,5,1,5,4,5,3,4,5,5,3,1,2,3,2,1,4
110,24,5,3,4,2,5,2,5,5,2,5,3,5,5,3,2,2,2,4,1,1,3,5,1,3,5
110,17,3,4,3,4,5,4,5,3,3,1,4,1,3,1,5,3,3,4,5,3,5,4,3,1,3
111,17,4,4,4,3,5,2,5,4,2,3,3,4,4,3,3,3,2,4,4,3,3,3,2,1,3
111,1,4,3,5,2,5,2,3,2,1,1,2,3,3,2,3,5,3,4,3,1,3,3,1,4,3
112,23,5,5,5,3,5,1,4,5,3,1,1,1,5,3,3,1,3,3,1,3,3,5,4,1,4
112,3,5,4,4,3,5,1,5,5,3,5,1,3,4,4,3,1,5,4,1,4,3,4,4,1,4
112,21,5,5,5,4,5,1,5,5,2,3,1,3,4,4,2,2,2,4,2,3,3,4,4,1,4
113,25,4,4,4,3,5,2,4,4,1,4,4,4,4,4,3,4,1,3,2,1,3,4,2,3,3
114,23,4,4,4,1,5,1,4,4,2,2,2,3,5,3,3,2,4,3,1,3,3,3,4,2,4
114,21,3,3,4,1,5,1,3,3,2,2,3,3,3,3,2,2,3,2,1,1,3,3,2,2,2
114,13,3,3,3,1,5,1,4,3,2,2,2,3,4,2,3,2,3,3,1,3,2,3,3,2,4
115,21,3,4,3,2,5,2,3,3,2,5,1,3,3,5,2,3,4,3,2,1,3,5,3,1,3
115,16,3,4,3,3,5,3,3,4,4,5,2,2,3,5,3,1,4,3,3,1,4,5,4,1,3
116,1,5,4,5,1,5,2,5,5,2,1,1,3,5,3,2,3,4,5,2,1,3,5,2,4,5
116,14,5,4,3,2,5,2,5,5,5,5,1,4,4,5,4,1,5,4,3,1,4,5,5,1,3
117,3,5,5,4,2,5,1,5,4,5,5,2,4,5,5,1,1,4,4,2,3,1,4,1,1,4
117,23,4,4,4,2,5,1,5,4,5,3,4,4,5,5,1,4,3,5,1,4,1,4,1,1,4
118,19,2,4,2,1,5,2,3,3,5,5,5,3,2,5,3,2,3,1,1,1,5,3,1,2,3
118,16,4,3,4,5,5,3,4,4,4,5,1,2,3,4,5,1,5,2,3,1,1,3,4,1,4
120,13,5,4,4,4,5,3,4,4,3,4,2,1,3,5,4,1,4,2,4,3,4,3,4,1,3
120,15,4,4,3,4,4,3,4,3,3,3,4,1,3,4,4,1,4,2,4,4,5,3,4,1,3
121,14,4,5,2,3,5,2,5,3,2,5,5,4,4,5,3,5,1,3,3,1,3,3,3,1,3
121,23,5,5,5,5,5,3,5,5,5,5,5,1,5,5,2,1,5,5,4,4,4,4,5,1,5
122,13,5,5,3,4,5,2,5,4,3,3,3,4,5,4,4,2,3,3,2,4,3,5,3,1,4
122,14,4,5,3,2,4,3,4,3,2,3,4,4,5,3,3,4,3,2,2,1,3,5,3,1,4
123,16,5,4,5,2,5,2,5,5,5,5,1,5,5,4,2,3,5,5,2,1,3,4,4,1,5
123,23,5,5,5,2,5,2,5,5,5,5,1,5,5,5,1,1,5,5,1,2,2,5,5,1,5
125,24,5,5,4,2,5,2,5,5,1,4,2,3,5,3,1,2,2,4,1,1,2,5,3,3,5
125,21,5,4,4,3,3,2,4,4,1,2,2,2,4,2,1,1,3,2,1,1,2,3,2,2,3
127,15,5,4,3,2,4,2,4,3,1,2,1,2,4,3,3,2,2,4,2,3,2,3,2,2,4
127,3,4,3,2,3,4,3,3,3,1,2,2,4,4,3,2,2,3,4,3,2,2,3,2,2,4
200,17,3,4,4,2,4,1,3,2,2,1,2,2,4,1,2,1,3,3,2,2,2,4,3,1,4
200,15,3,4,4,3,4,1,3,4,2,1,3,2,4,1,2,2,3,3,2,2,2,3,2,1,4
200,19,3,4,2,1,5,1,3,2,4,5,2,4,3,5,2,3,3,2,1,1,4,3,2,4,2
201,14,2,1,1,2,2,1,2,2,4,4,1,4,1,5,4,1,4,1,2,1,4,2,4,1,1
202,25,4,4,5,1,5,1,4,3,2,4,2,3,4,4,2,4,4,4,1,1,4,5,3,2,5
202,14,2,4,3,3,5,3,4,4,2,4,2,3,3,4,3,1,4,3,4,1,5,4,3,2,3
203,25,4,4,4,2,5,2,5,3,3,5,3,5,5,5,1,3,2,5,2,1,1,4,2,1,4
203,15,5,4,4,3,5,2,5,3,3,2,1,2,3,3,4,1,3,3,1,4,2,4,3,1,4
204,17,5,5,5,4,5,2,5,5,3,5,1,5,5,5,2,1,5,4,2,3,1,5,5,1,5
